,day,infected,type,stat,type_pretty
0,0.0,0.0,infected,mean,0%
1,1.0,0.0,infected,mean,0%
2,2.0,0.006699999999999998,infected,mean,0%
3,3.0,0.012700000000000017,infected,mean,0%
4,4.0,0.024500000000000022,infected,mean,0%
5,5.0,0.019199999999999995,infected,mean,0%
6,6.0,0.026100000000000012,infected,mean,0%
7,7.0,0.027099999999999902,infected,mean,0%
8,8.0,-0.0050000000000000044,infected,mean,0%
9,9.0,0.010000000000000009,infected,mean,0%
10,10.0,0.024800000000000155,infected,mean,0%
11,11.0,0.027699999999999836,infected,mean,0%
12,12.0,0.02059999999999995,infected,mean,0%
13,13.0,0.03139999999999965,infected,mean,0%
14,14.0,0.04300000000000015,infected,mean,0%
15,15.0,0.005900000000000016,infected,mean,0%
16,16.0,0.0036999999999998145,infected,mean,0%
17,17.0,0.012299999999999756,infected,mean,0%
18,18.0,0.07359999999999989,infected,mean,0%
19,19.0,0.06449999999999978,infected,mean,0%
20,20.0,0.08370000000000033,infected,mean,0%
21,21.0,0.09720000000000084,infected,mean,0%
22,22.0,0.043300000000000116,infected,mean,0%
23,23.0,0.038200000000000234,infected,mean,0%
24,24.0,0.060100000000000264,infected,mean,0%
25,25.0,0.03570000000000029,infected,mean,0%
26,26.0,0.03059999999999974,infected,mean,0%
27,27.0,-0.00849999999999973,infected,mean,0%
28,28.0,0.0033000000000003027,infected,mean,0%
29,29.0,-0.025000000000000355,infected,mean,0%
30,30.0,-0.028100000000000236,infected,mean,0%
31,31.0,-0.03230000000000022,infected,mean,0%
32,32.0,-0.07540000000000013,infected,mean,0%
33,33.0,-0.043400000000000105,infected,mean,0%
34,34.0,-0.03080000000000016,infected,mean,0%
35,35.0,-0.03610000000000024,infected,mean,0%
36,36.0,-0.06240000000000001,infected,mean,0%
37,37.0,-0.09529999999999994,infected,mean,0%
38,38.0,-0.11610000000000031,infected,mean,0%
39,39.0,-0.12130000000000019,infected,mean,0%
40,40.0,-0.17790000000000017,infected,mean,0%
41,41.0,-0.19489999999999963,infected,mean,0%
42,42.0,-0.2184999999999997,infected,mean,0%
43,43.0,-0.12060000000000004,infected,mean,0%
44,44.0,-0.14040000000000008,infected,mean,0%
45,45.0,-0.17399999999999993,infected,mean,0%
46,46.0,-0.15010000000000012,infected,mean,0%
47,47.0,-0.1328999999999998,infected,mean,0%
48,48.0,-0.11130000000000084,infected,mean,0%
49,49.0,-0.10349999999999948,infected,mean,0%
50,50.0,-0.007099999999999884,infected,mean,0%
51,51.0,-0.017900000000000027,infected,mean,0%
52,52.0,0.0009000000000001229,infected,mean,0%
53,53.0,0.0017000000000000348,infected,mean,0%
54,54.0,0.019000000000000128,infected,mean,0%
55,55.0,0.0671999999999997,infected,mean,0%
56,56.0,0.06559999999999988,infected,mean,0%
57,57.0,0.047599999999999865,infected,mean,0%
58,58.0,0.06510000000000016,infected,mean,0%
59,59.0,0.09460000000000024,infected,mean,0%
60,60.0,0.0613999999999999,infected,mean,0%
61,0.0,0.0,infected,mean,10%
62,1.0,0.0,infected,mean,10%
63,2.0,0.005299999999999999,infected,mean,10%
