day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456909	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456909	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456909	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456909	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456909	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123456909	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123456909	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123456909	234	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123456909	231	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123456909	229	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123456909	225	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123456909	217	2	1	0	7	4	7	2	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
12	123456909	214	5	1	0	7	2	8	3	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
13	123456909	214	2	4	0	7	2	7	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
14	123456909	214	2	4	0	7	2	6	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
15	123456909	210	5	5	0	7	1	7	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
16	123456909	209	4	6	1	7	0	6	7	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
17	123456909	206	5	5	4	7	0	5	8	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
18	123456909	200	0	0	0	13	3	11	13	0	0	0	0	0	0	0	0	175	0	0	4	0	0	50	0	0	0	0	[2D 1D]	2	2
19	123456909	200	0	0	0	13	3	11	13	0	0	0	0	0	0	0	0	175	0	0	4	0	0	50	0	0	0	0	[2D 1D]	2	2
