day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456935	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456935	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456935	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456935	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456935	232	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	2
5	123456935	231	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	[]	0	2
6	123456935	231	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	0	0	0	50	0	[]	0	2
7	123456935	231	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	0	0	0	50	0	[]	0	3
8	123456935	226	6	7	1	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	0	[]	0	3
9	123456935	197	2	1	0	29	3	7	1	0	0	0	0	0	0	0	0	120	7	0	3	0	0	0	0	0	50	0	[2C 3C]	2	3
10	123456935	197	2	1	0	29	1	9	1	0	0	0	0	0	0	0	0	120	7	0	3	0	0	0	0	0	50	0	[2C 3C]	2	3
11	123456935	197	1	2	0	29	0	10	1	0	0	0	0	0	0	0	0	120	7	0	3	0	0	0	0	0	50	0	[2C 3C]	2	3
12	123456935	196	1	3	0	29	0	7	4	0	0	0	0	0	0	0	0	120	7	0	3	0	0	0	0	0	50	0	[2C 3C]	2	3
13	123456935	196	1	2	1	29	0	7	4	0	0	0	0	0	0	0	0	120	7	0	3	0	0	0	0	0	50	0	[2C 3C]	2	3
14	123456935	196	1	1	2	29	0	5	6	0	0	0	0	0	0	0	0	120	7	0	3	0	0	0	0	0	50	0	[2C 3C]	2	3
