,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.2593,0.7407,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.4424,1.3694,1.0480,0.1401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8929
3,3.0000,231.2773,1.1992,0.7267,0.2302,5.6527,0.2933,0.5776,0.0430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.8639
4,4.0000,230.5726,1.5526,0.9920,0.3163,5.6527,0.2092,0.5936,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.8639
5,5.0000,229.7457,1.9489,1.2843,0.4545,5.6527,0.1451,0.5726,0.1962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.8679
6,6.0000,229.7457,1.3794,1.6897,0.6186,5.6527,0.1131,0.5345,0.2663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.9019
7,7.0000,229.7457,0.9770,1.8829,0.8278,5.6527,0.0831,0.5005,0.3303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.9530
8,8.0000,228.7027,1.7487,1.9159,1.0661,5.6527,0.0571,0.4635,0.3934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.9449
9,9.0000,227.6176,2.3333,2.1862,1.2963,5.6527,0.0440,0.4004,0.4695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3594,0.0000,0.0000,0.3283,0.9650
10,10.0000,222.4314,1.0981,0.7207,0.6747,10.4324,1.0210,2.2352,1.3864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3584,0.0000,0.0000,0.9860,0.0000,0.0000,0.7538,1.0120
