day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456795	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456795	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123456795	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
3	123456795	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
4	123456795	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
5	123456795	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
6	123456795	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
7	123456795	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
8	123456795	235	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
9	123456795	234	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	1
10	123456795	232	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	1
11	123456795	230	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	1
12	123456795	228	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	1
13	123456795	228	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	2
14	123456795	228	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	1
15	123456795	224	7	5	4	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	[]	0	1
16	123456795	215	2	0	3	9	3	7	1	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	1
17	123456795	215	1	1	3	9	3	7	1	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	2
18	123456795	214	2	1	3	9	3	5	3	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	2
19	123456795	214	1	2	3	9	1	6	4	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	2
20	123456795	214	1	2	3	9	1	5	5	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	2
21	123456795	214	1	2	3	9	1	4	6	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	2
22	123456795	214	1	2	3	9	0	4	7	0	0	0	0	0	0	0	0	360	0	0	4	0	0	[2C]	1	2
23	123456795	200	0	0	0	23	1	6	10	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
24	123456795	200	0	0	0	23	0	7	10	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
25	123456795	200	0	0	0	23	0	7	10	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
26	123456795	200	0	0	0	23	0	6	11	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
27	123456795	200	0	0	0	23	0	5	12	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
28	123456795	200	0	0	0	23	0	5	12	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
29	123456795	200	0	0	0	23	0	4	13	0	0	0	0	0	0	0	0	470	0	0	5	0	0	[2C 3C]	2	2
30	123456795	209	0	0	11	14	0	2	4	0	0	0	0	0	0	0	0	580	0	0	5	0	0	[3C]	1	1
31	123456795	209	0	0	11	14	0	1	5	0	0	0	0	0	0	0	0	580	0	0	5	0	0	[3C]	1	1
32	123456795	209	0	0	11	14	0	1	5	0	0	0	0	0	0	0	0	580	0	0	5	0	0	[3C]	1	1
33	123456795	209	0	0	11	14	0	1	5	0	0	0	0	0	0	0	0	580	0	0	5	0	0	[3C]	1	1
34	123456795	209	0	0	11	14	0	0	6	0	0	0	0	0	0	0	0	580	0	0	5	0	0	[3C]	1	0
35	123456795	209	0	0	11	14	0	0	6	0	0	0	0	0	0	0	0	580	0	0	5	0	0	[3C]	1	0
