,day,new-infected,type,type_of_screening_pretty
0,1.0,0.0,New infected,Without screening
1,2.0,0.015099999999989677,New infected,Without screening
2,3.0,0.013900000000006685,New infected,Without screening
3,4.0,0.025099999999980582,New infected,Without screening
4,5.0,0.024900000000030786,New infected,Without screening
5,6.0,0.034199999999998454,New infected,Without screening
6,7.0,0.03999999999999204,New infected,Without screening
7,8.0,0.03700000000000614,New infected,Without screening
8,9.0,0.0660000000000025,New infected,Without screening
9,10.0,0.08419999999995298,New infected,Without screening
10,11.0,0.14600000000004343,New infected,Without screening
11,12.0,0.13929999999999154,New infected,Without screening
12,13.0,0.1762000000000512,New infected,Without screening
13,14.0,0.14699999999993452,New infected,Without screening
14,15.0,0.10310000000004038,New infected,Without screening
15,16.0,0.1711999999999705,New infected,Without screening
16,17.0,0.22130000000004202,New infected,Without screening
17,18.0,0.25929999999996767,New infected,Without screening
18,19.0,0.2781999999999982,New infected,Without screening
19,20.0,0.3324000000000069,New infected,Without screening
20,21.0,0.2711999999999932,New infected,Without screening
21,22.0,0.17920000000000869,New infected,Without screening
22,23.0,0.27329999999997767,New infected,Without screening
23,24.0,0.33620000000001937,New infected,Without screening
24,25.0,0.38339999999999463,New infected,Without screening
25,26.0,0.38450000000000273,New infected,Without screening
26,27.0,0.46349999999998204,New infected,Without screening
27,28.0,0.3713000000000477,New infected,Without screening
28,29.0,0.25219999999995935,New infected,Without screening
29,30.0,0.38649999999998386,New infected,Without screening
30,31.0,0.5045000000000357,New infected,Without screening
31,32.0,0.5963999999999601,New infected,Without screening
32,33.0,0.6076000000000477,New infected,Without screening
33,34.0,0.6897999999999911,New infected,Without screening
34,35.0,0.48339999999996053,New infected,Without screening
35,1.0,0.0,New infected,Screening 25%
36,2.0,0.010099999999994225,New infected,Screening 25%
37,3.0,0.010000000000019327,New infected,Screening 25%
38,4.0,0.01500000000001478,New infected,Screening 25%
39,5.0,0.05030000000002133,New infected,Screening 25%
40,6.0,0.06019999999998049,New infected,Screening 25%
41,7.0,0.025200000000012324,New infected,Screening 25%
42,8.0,0.025099999999980582,New infected,Screening 25%
43,9.0,0.06039999999998713,New infected,Screening 25%
44,10.0,0.05520000000001346,New infected,Screening 25%
45,11.0,0.09549999999995862,New infected,Screening 25%
46,12.0,0.08039999999999736,New infected,Screening 25%
47,13.0,0.09050000000002001,New infected,Screening 25%
48,14.0,0.08050000000000068,New infected,Screening 25%
49,15.0,0.08539999999999281,New infected,Screening 25%
50,16.0,0.09039999999998827,New infected,Screening 25%
51,17.0,0.15579999999999927,New infected,Screening 25%
52,18.0,0.09050000000002001,New infected,Screening 25%
53,19.0,0.1507000000000005,New infected,Screening 25%
54,20.0,0.1104999999999734,New infected,Screening 25%
55,21.0,0.1407000000000096,New infected,Screening 25%
56,22.0,0.040300000000002,New infected,Screening 25%
57,23.0,0.12560000000001992,New infected,Screening 25%
58,24.0,0.23109999999996944,New infected,Screening 25%
59,25.0,0.21100000000001273,New infected,Screening 25%
60,26.0,0.24109999999998877,New infected,Screening 25%
61,27.0,0.19120000000000914,New infected,Screening 25%
62,28.0,0.19079999999999586,New infected,Screening 25%
63,29.0,0.10060000000001423,New infected,Screening 25%
64,30.0,0.19579999999999131,New infected,Screening 25%
65,31.0,0.2715000000000032,New infected,Screening 25%
66,32.0,0.2863999999999862,New infected,Screening 25%
67,33.0,0.3315000000000339,New infected,Screening 25%
68,34.0,0.2261999999999773,New infected,Screening 25%
69,35.0,0.2512000000000114,New infected,Screening 25%
70,1.0,0.0,New infected,Screening 50%
71,2.0,0.0,New infected,Screening 50%
72,3.0,0.020000000000010232,New infected,Screening 50%
73,4.0,0.005099999999998772,New infected,Screening 50%
74,5.0,0.04019999999999868,New infected,Screening 50%
75,6.0,0.030100000000004457,New infected,Screening 50%
76,7.0,0.030199999999979354,New infected,Screening 50%
77,8.0,0.03510000000002833,New infected,Screening 50%
78,9.0,0.04019999999999868,New infected,Screening 50%
79,10.0,0.08549999999999613,New infected,Screening 50%
80,11.0,0.07040000000000646,New infected,Screening 50%
81,12.0,0.05519999999998504,New infected,Screening 50%
82,13.0,0.09040000000001669,New infected,Screening 50%
83,14.0,0.08050000000000068,New infected,Screening 50%
84,15.0,0.06539999999998258,New infected,Screening 50%
85,16.0,0.12059999999999604,New infected,Screening 50%
86,17.0,0.11549999999996885,New infected,Screening 50%
87,18.0,0.1559000000000026,New infected,Screening 50%
88,19.0,0.09540000000001214,New infected,Screening 50%
89,20.0,0.1809000000000367,New infected,Screening 50%
90,21.0,0.0953999999999553,New infected,Screening 50%
91,22.0,0.10560000000000969,New infected,Screening 50%
92,23.0,0.13060000000001537,New infected,Screening 50%
93,24.0,0.1809000000000367,New infected,Screening 50%
94,25.0,0.17089999999998895,New infected,Screening 50%
95,26.0,0.15069999999997208,New infected,Screening 50%
96,27.0,0.15070000000002892,New infected,Screening 50%
97,28.0,0.04009999999999536,New infected,Screening 50%
98,29.0,0.07540000000000191,New infected,Screening 50%
99,30.0,0.12569999999999482,New infected,Screening 50%
100,31.0,0.18090000000000828,New infected,Screening 50%
101,32.0,0.15589999999994575,New infected,Screening 50%
102,33.0,0.15579999999997085,New infected,Screening 50%
103,34.0,0.1657000000000437,New infected,Screening 50%
104,35.0,0.14080000000001291,New infected,Screening 50%
105,1.0,0.0,New infected,Screening 100%
106,2.0,0.009999999999990905,New infected,Screening 100%
107,3.0,0.015099999999989677,New infected,Screening 100%
108,4.0,0.010000000000019327,New infected,Screening 100%
109,5.0,0.03530000000000655,New infected,Screening 100%
110,6.0,0.030100000000004457,New infected,Screening 100%
111,7.0,0.02009999999998513,New infected,Screening 100%
112,8.0,0.02019999999998845,New infected,Screening 100%
113,9.0,0.030000000000001137,New infected,Screening 100%
114,10.0,0.050199999999989586,New infected,Screening 100%
115,11.0,0.03510000000002833,New infected,Screening 100%
116,12.0,0.050299999999992906,New infected,Screening 100%
117,13.0,0.06030000000001223,New infected,Screening 100%
118,14.0,0.050199999999989586,New infected,Screening 100%
119,15.0,0.040300000000002,New infected,Screening 100%
120,16.0,0.03519999999997481,New infected,Screening 100%
121,17.0,0.10050000000003934,New infected,Screening 100%
122,18.0,0.06019999999998049,New infected,Screening 100%
123,19.0,0.08540000000002124,New infected,Screening 100%
124,20.0,0.04029999999997358,New infected,Screening 100%
125,21.0,0.07540000000000191,New infected,Screening 100%
126,22.0,0.045200000000022555,New infected,Screening 100%
127,23.0,0.07550000000000523,New infected,Screening 100%
128,24.0,0.1205999999999392,New infected,Screening 100%
129,25.0,0.06530000000003611,New infected,Screening 100%
130,26.0,0.04529999999999745,New infected,Screening 100%
131,27.0,0.0852999999999895,New infected,Screening 100%
132,28.0,0.06539999999998258,New infected,Screening 100%
133,29.0,0.03520000000003165,New infected,Screening 100%
134,30.0,0.050199999999989586,New infected,Screening 100%
135,31.0,0.05520000000004188,New infected,Screening 100%
136,32.0,0.07550000000000523,New infected,Screening 100%
137,33.0,0.030099999999976035,New infected,Screening 100%
138,34.0,0.07529999999999859,New infected,Screening 100%
139,35.0,0.06530000000000769,New infected,Screening 100%
