day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456802	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	1	1	0	0	1	0	0	0	50	0	[1C]	1	1
2	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	1	1	0	0	1	0	0	0	50	0	[1C]	1	0
3	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	1	1	0	0	1	0	0	0	50	0	[1C]	1	0
4	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	1	1	0	0	1	0	0	0	50	0	[1C]	1	0
5	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	1	1	0	0	1	0	0	0	50	0	[1C]	1	0
6	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	2	1	0	0	1	0	0	0	50	0	[1C]	1	0
7	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	2	1	0	0	1	0	0	0	50	0	[1C]	1	0
8	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	3	1	0	0	1	0	0	0	50	0	[1C]	1	0
9	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	3	1	0	0	1	0	0	0	50	0	[1C]	1	0
10	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	220	3	1	0	0	1	0	0	0	50	0	[1C]	1	0
11	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	440	3	1	0	0	1	0	0	0	50	0	[1C]	1	0
12	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	440	5	1	0	0	1	0	0	0	50	0	[1C]	1	0
13	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	440	6	1	0	0	1	0	0	0	50	0	[1C]	1	0
14	123456802	220	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	440	7	1	0	0	1	0	0	0	50	0	[1C]	1	0
15	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	440	8	1	0	0	1	0	0	0	50	0	[]	0	0
16	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	440	11	1	0	0	1	0	0	0	50	0	[]	0	0
17	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	440	11	1	0	0	1	0	0	0	50	0	[]	0	0
18	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	11	1	0	0	1	0	0	0	50	0	[]	0	0
19	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	13	1	0	0	1	0	0	0	50	0	[]	0	0
20	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	14	1	0	0	1	0	0	0	50	0	[]	0	0
21	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	15	1	0	0	1	0	0	0	50	0	[]	0	0
22	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	16	1	0	0	1	0	0	0	50	0	[]	0	0
23	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	19	1	0	0	1	0	0	0	50	0	[]	0	0
24	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	680	19	1	0	0	1	0	0	0	50	0	[]	0	0
25	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	21	1	0	0	1	0	0	0	50	0	[]	0	0
26	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	21	1	0	0	1	0	0	0	50	0	[]	0	0
27	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	23	1	0	0	1	0	0	0	50	0	[]	0	0
28	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	25	1	0	0	1	0	0	0	50	0	[]	0	0
29	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	25	1	0	0	1	0	0	0	50	0	[]	0	0
30	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	26	1	0	0	1	0	0	0	50	0	[]	0	0
31	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	920	26	1	0	0	1	0	0	0	50	0	[]	0	0
32	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1160	26	1	0	0	1	0	0	0	50	0	[]	0	0
33	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1160	27	1	0	0	1	0	0	0	50	0	[]	0	0
34	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1160	27	1	0	0	1	0	0	0	50	0	[]	0	0
35	123456802	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1160	29	1	0	0	1	0	0	0	50	0	[]	0	0
