day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457612	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457612	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457612	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
3	123457612	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
4	123457612	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
5	123457612	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
6	123457612	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
7	123457612	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
8	123457612	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
9	123457612	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
10	123457612	214	4	2	0	17	1	2	0	0	0	0	0	0	0	0	0	120	5	0	1	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C]	1	2
11	123457612	195	4	1	0	17	1	2	0	15	1	4	0	0	0	0	0	120	8	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C]	2	3
12	123457612	194	3	3	0	17	1	2	0	15	0	5	0	0	0	0	0	120	9	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C]	2	3
13	123457612	194	2	3	1	17	1	2	0	15	0	4	1	0	0	0	0	120	11	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C]	2	3
14	123457612	194	0	3	3	17	1	2	0	15	0	3	2	0	0	0	0	120	11	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C]	2	4
15	123457612	194	0	2	4	17	0	3	0	15	0	2	3	0	0	0	0	120	11	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C]	2	3
16	123457612	193	1	2	4	17	0	3	0	15	0	2	3	0	0	0	0	120	11	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C]	2	3
17	123457612	179	0	0	1	31	1	5	3	15	0	2	3	0	0	0	0	170	12	0	2	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C 1B]	3	3
18	123457612	179	0	0	1	31	1	4	4	15	0	2	3	0	0	0	0	170	12	0	2	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[2C 1C 1B]	3	3
