,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.9849,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0151,0.0000,0.0000
2,2.0000,239.9648,0.0251,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.3869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0302,0.0000,0.0101
3,3.0000,239.8241,0.0603,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,60.0000,2.1407,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.0653,0.0050,0.0151
4,4.0000,239.7387,0.1307,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0000,0.0050,60.0000,2.8392,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.1106,0.0050,0.0201
5,5.0000,239.5578,0.1658,0.0704,0.0050,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0000,0.0050,60.0000,3.5176,0.0050,0.0000,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,0.1357,0.0101,0.0553
6,6.0000,239.5327,0.1307,0.1156,0.0201,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0000,0.0050,60.0000,4.1759,0.0050,0.0000,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,0.1608,0.0101,0.0955
7,7.0000,239.5176,0.1206,0.1307,0.0302,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0000,0.0050,60.0000,4.9146,0.0050,0.0000,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,0.1759,0.0101,0.1005
8,8.0000,239.4322,0.1809,0.1156,0.0704,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0000,0.0050,60.0000,5.5176,0.0050,0.0000,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,0.2010,0.0101,0.0854
9,9.0000,238.7085,0.1508,0.0704,0.0653,0.5729,0.0302,0.0754,0.0251,0.0955,0.0000,0.0050,0.0000,0.1859,0.0000,0.0101,0.0050,119.9246,6.0955,0.0101,0.0352,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,0.2211,0.0503,0.1055
10,10.0000,238.6131,0.2010,0.0955,0.0854,0.5729,0.0251,0.0603,0.0452,0.0955,0.0000,0.0050,0.0000,0.1859,0.0000,0.0050,0.0101,119.9246,6.8794,0.0101,0.0352,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,0.2412,0.0503,0.1106
11,11.0000,238.4623,0.2714,0.1759,0.0854,0.5729,0.0050,0.0754,0.0503,0.0955,0.0000,0.0050,0.0000,0.1859,0.0000,0.0050,0.0101,119.9246,7.5829,0.0101,0.0352,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,0.2864,0.0503,0.1508
12,12.0000,238.2111,0.3668,0.2060,0.1106,0.5729,0.0050,0.0653,0.0603,0.0955,0.0000,0.0050,0.0000,0.2814,0.0000,0.0101,0.0101,119.9246,8.2513,0.0151,0.0352,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,0.3065,0.0553,0.1558
13,13.0000,238.1156,0.3015,0.2312,0.1457,0.5729,0.0000,0.0553,0.0754,0.0955,0.0000,0.0050,0.0000,0.3668,0.0050,0.0201,0.0101,119.9246,9.0000,0.0201,0.0352,0.0050,0.0201,0.0000,0.0000,0.0000,50.0000,0.3166,0.0603,0.1658
14,14.0000,238.0854,0.2613,0.2412,0.2060,0.5729,0.0000,0.0503,0.0804,0.0955,0.0000,0.0000,0.0050,0.3668,0.0050,0.0101,0.0201,119.9246,9.7035,0.0201,0.0352,0.0050,0.0201,0.0000,0.0000,0.0000,50.0000,0.3467,0.0603,0.1658
15,15.0000,237.8191,0.3869,0.2563,0.2312,0.5729,0.0000,0.0503,0.0804,0.0955,0.0000,0.0000,0.0050,0.4070,0.0151,0.0452,0.0352,119.9246,10.4020,0.0251,0.0352,0.0050,0.0251,0.0000,0.0000,0.0000,50.0000,0.3668,0.0653,0.1960
16,16.0000,236.4472,0.2613,0.1206,0.1558,1.6030,0.1106,0.2161,0.1809,0.3266,0.0151,0.0352,0.0251,0.4070,0.0151,0.0402,0.0402,179.5226,11.0955,0.0251,0.1106,0.0201,0.0251,0.0000,0.0000,0.0000,50.0000,0.3869,0.1508,0.2111
17,17.0000,236.3819,0.3216,0.1910,0.1910,1.6030,0.0603,0.2312,0.2161,0.3266,0.0101,0.0302,0.0352,0.3116,0.0050,0.0452,0.0402,179.5226,11.7437,0.0251,0.1106,0.0201,0.0251,0.0000,0.0000,0.0000,50.0000,0.4221,0.1457,0.2412
18,18.0000,236.1709,0.3668,0.2261,0.2211,1.6030,0.0402,0.2362,0.2312,0.3266,0.0101,0.0302,0.0352,0.3819,0.0201,0.0452,0.0553,179.5226,12.5528,0.0302,0.1106,0.0201,0.0302,0.0000,0.0000,0.0000,50.0000,0.4372,0.1508,0.2312
19,19.0000,236.0251,0.4874,0.3317,0.2412,1.6030,0.0302,0.2211,0.2563,0.2312,0.0050,0.0352,0.0302,0.3819,0.0101,0.0553,0.0553,179.5226,13.2663,0.0302,0.1106,0.0201,0.0302,0.0000,0.0000,0.0000,50.0000,0.4673,0.1457,0.2915
20,20.0000,235.9196,0.3719,0.4121,0.2814,1.6030,0.0201,0.2261,0.2613,0.3015,0.0151,0.0553,0.0302,0.3819,0.0101,0.0503,0.0603,179.5226,14.0101,0.0302,0.1106,0.0251,0.0302,0.0000,0.0000,0.0000,50.0000,0.5025,0.1508,0.3015
21,21.0000,235.8492,0.2714,0.4422,0.3216,1.6030,0.0101,0.2010,0.2965,0.3015,0.0101,0.0452,0.0452,0.4171,0.0101,0.0955,0.0804,179.5226,14.7337,0.0352,0.1106,0.0251,0.0352,0.0000,0.0000,0.0000,50.0000,0.5377,0.1558,0.3116
22,22.0000,235.5075,0.5779,0.4121,0.3869,1.6030,0.0101,0.1709,0.3266,0.3015,0.0101,0.0452,0.0452,0.4171,0.0101,0.0754,0.1005,179.5226,15.5327,0.0352,0.1106,0.0251,0.0352,0.0000,0.0000,0.0000,50.0000,0.5729,0.1558,0.3065
23,23.0000,234.5528,0.4673,0.2412,0.4171,2.4171,0.1357,0.3920,0.3719,0.3015,0.0050,0.0452,0.0503,0.3920,0.0151,0.0754,0.1206,238.9196,16.1658,0.0402,0.2362,0.0251,0.0402,0.0000,0.0000,0.0000,50.0000,0.5879,0.2161,0.3216
24,24.0000,234.2261,0.5829,0.3216,0.4472,2.4171,0.1005,0.3920,0.4070,0.3568,0.0151,0.0603,0.0704,0.3920,0.0151,0.0704,0.1256,238.9196,16.8794,0.0402,0.2362,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.6131,0.2211,0.3417
25,25.0000,233.8844,0.6231,0.4020,0.4673,2.4171,0.0704,0.3719,0.4573,0.3568,0.0151,0.0603,0.0704,0.5176,0.0201,0.1106,0.1558,238.9196,17.6080,0.0503,0.2362,0.0302,0.0503,0.0000,0.0000,0.0000,50.0000,0.6332,0.2312,0.3719
26,26.0000,233.6834,0.7437,0.5126,0.5377,2.4171,0.0503,0.3317,0.5176,0.3568,0.0101,0.0603,0.0754,0.4221,0.0151,0.0854,0.1809,238.9196,18.2563,0.0503,0.2362,0.0302,0.0503,0.0000,0.0000,0.0000,50.0000,0.6432,0.2261,0.3970
27,27.0000,233.6533,0.5779,0.6281,0.6181,2.4171,0.0452,0.3116,0.5427,0.3568,0.0050,0.0553,0.0854,0.4322,0.0101,0.0905,0.1709,238.9196,18.8392,0.0553,0.2362,0.0302,0.0553,0.0000,0.0000,0.0000,50.0000,0.6633,0.2261,0.4322
28,28.0000,233.4925,0.4271,0.6482,0.7085,2.4171,0.0352,0.2513,0.6131,0.4975,0.0151,0.0854,0.1055,0.4322,0.0050,0.0854,0.1809,238.9196,19.5377,0.0553,0.2362,0.0402,0.0553,0.0000,0.0000,0.0000,50.0000,0.6834,0.2362,0.4523
29,29.0000,232.9799,0.7487,0.7286,0.8191,2.4171,0.0251,0.2211,0.6533,0.4975,0.0151,0.0854,0.1055,0.4874,0.0050,0.0854,0.1256,238.9196,20.3568,0.0603,0.2362,0.0402,0.0603,0.0000,0.0000,0.0000,50.0000,0.7035,0.2362,0.4874
30,30.0000,232.0854,0.4171,0.2915,0.9749,3.3769,0.3065,0.7236,0.7186,0.2663,0.0151,0.0603,0.0603,0.4874,0.0050,0.0854,0.1256,298.1658,21.0603,0.0603,0.4422,0.0402,0.0603,0.0000,0.0000,0.0000,50.0000,0.7236,0.3116,0.4472
31,31.0000,231.8593,0.5377,0.3618,1.0101,3.3769,0.2211,0.6884,0.8392,0.2663,0.0101,0.0553,0.0704,0.4874,0.0000,0.0854,0.1307,298.1658,21.7085,0.0603,0.4422,0.0402,0.0603,0.0000,0.0000,0.0000,50.0000,0.7437,0.3116,0.4472
32,32.0000,231.6030,0.7286,0.4422,1.0955,3.3769,0.1508,0.6533,0.9447,0.2663,0.0050,0.0452,0.0854,0.4171,0.0000,0.0603,0.1256,298.1658,22.3467,0.0603,0.4422,0.0402,0.0603,0.0000,0.0000,0.0000,50.0000,0.7739,0.3065,0.4372
33,33.0000,231.2010,0.8191,0.5980,1.1508,3.3769,0.1055,0.5729,1.0704,0.3065,0.0151,0.0754,0.1055,0.4171,0.0000,0.0503,0.1357,298.1658,23.0402,0.0603,0.4422,0.0452,0.0603,0.0000,0.0000,0.0000,50.0000,0.7940,0.3116,0.4724
34,34.0000,231.1508,0.6432,0.7236,1.2513,3.3769,0.0704,0.5276,1.1508,0.2362,0.0101,0.0704,0.0854,0.5025,0.0101,0.0553,0.1357,298.1658,23.6683,0.0653,0.4422,0.0452,0.0653,0.0000,0.0000,0.0000,50.0000,0.8291,0.3116,0.4824
35,35.0000,231.0050,0.4724,0.7236,1.3668,3.3769,0.0503,0.5075,1.1910,0.2362,0.0000,0.0804,0.0854,0.6030,0.0402,0.1457,0.1156,298.1658,24.2915,0.0804,0.4422,0.0452,0.0804,0.0000,0.0000,0.0000,50.0000,0.8744,0.3216,0.5327
