day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456985	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456985	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456985	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456985	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456985	238	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456985	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456985	237	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	50	0	[]	0	0
7	123456985	237	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	0	50	0	[]	0	0
8	123456985	237	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456985	237	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	0	50	0	[]	0	1
10	123456985	236	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	50	0	[]	0	1
11	123456985	236	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	50	0	[]	0	1
12	123456985	236	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	48	10	0	0	0	0	0	0	0	50	0	[]	0	0
13	123456985	236	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	48	12	0	0	0	0	0	0	0	50	0	[]	0	0
14	123456985	236	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	48	12	0	0	0	0	0	0	0	50	0	[]	0	1
15	123456985	234	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	48	12	0	0	0	0	0	0	0	50	0	[]	0	1
16	123456985	233	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	48	13	0	0	0	0	0	0	0	50	0	[]	0	1
17	123456985	232	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	48	13	0	0	0	0	0	0	0	50	0	[]	0	1
18	123456985	232	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	48	14	0	0	0	0	0	0	0	50	0	[]	0	1
19	123456985	232	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	72	14	0	0	0	0	0	0	0	50	0	[]	0	1
20	123456985	232	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	72	16	0	0	0	0	0	0	0	50	0	[]	0	1
21	123456985	232	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	72	18	0	0	0	0	0	0	0	50	0	[]	0	1
22	123456985	232	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	72	18	0	0	0	0	0	0	0	50	0	[]	0	1
23	123456985	229	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	72	19	0	0	0	0	0	0	0	50	0	[]	0	1
24	123456985	228	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	72	21	0	0	0	0	0	0	0	50	0	[]	0	2
25	123456985	223	7	6	4	0	0	0	0	0	0	0	0	0	0	0	0	72	21	0	0	0	0	0	0	0	50	0	[]	0	2
26	123456985	215	4	1	0	7	1	7	5	0	0	0	0	0	0	0	0	96	21	0	1	0	0	0	0	0	50	0	[1A]	1	2
27	123456985	215	1	4	0	7	1	7	5	0	0	0	0	0	0	0	0	96	21	0	1	0	0	0	0	0	50	0	[1A]	1	5
28	123456985	215	1	3	1	7	0	6	7	0	0	0	0	0	0	0	0	96	22	0	1	0	0	0	0	0	50	0	[1A]	1	4
29	123456985	213	3	3	1	7	0	4	9	0	0	0	0	0	0	0	0	96	24	0	1	0	0	0	0	0	50	0	[1A]	1	4
30	123456985	213	2	4	1	7	0	3	10	0	0	0	0	0	0	0	0	96	25	0	1	0	0	0	0	0	50	0	[1A]	1	4
31	123456985	210	5	4	1	7	0	3	10	0	0	0	0	0	0	0	0	96	27	0	1	0	0	0	0	0	50	0	[1A]	1	4
32	123456985	208	7	3	2	7	0	3	10	0	0	0	0	0	0	0	0	96	28	0	1	0	0	0	0	0	50	0	[1A]	1	4
33	123456985	190	5	3	2	24	1	4	11	0	0	0	0	0	0	0	0	118	29	0	2	0	0	0	0	0	50	0	[1A 2A]	2	4
34	123456985	190	3	5	2	24	1	4	11	0	0	0	0	0	0	0	0	118	30	0	2	0	0	0	0	0	50	0	[1A 2A]	2	4
35	123456985	190	3	4	3	24	1	3	12	0	0	0	0	0	0	0	0	118	30	0	2	0	0	0	0	0	50	0	[1A 2A]	2	4
