,trace,day,type
0,0,7,External screening
1,1,22,External screening
2,2,15,External screening
3,3,12,School screening
4,4,17,External screening
5,5,15,External screening
6,6,7,External screening
7,7,19,School screening
8,8,19,External screening
9,9,12,School screening
10,10,5,School screening
11,11,22,External screening
12,12,24,External screening
13,13,19,School screening
14,14,23,External screening
15,15,20,External screening
16,16,19,External screening
17,17,14,External screening
18,18,26,School screening
19,19,27,External screening
20,20,19,School screening
21,21,19,School screening
22,22,16,External screening
23,23,26,External screening
24,24,8,External screening
25,25,17,External screening
26,26,5,School screening
27,27,19,School screening
28,28,5,School screening
29,29,18,External screening
30,30,11,External screening
31,31,18,External screening
32,32,33,School screening
33,33,7,External screening
34,34,12,School screening
35,35,25,External screening
36,36,33,School screening
37,37,17,External screening
38,38,21,External screening
39,39,13,External screening
40,40,12,School screening
41,41,4,External screening
42,42,24,External screening
43,43,10,External screening
44,44,11,External screening
45,45,19,School screening
46,46,22,External screening
47,47,26,School screening
48,48,7,External screening
49,49,12,School screening
50,50,19,School screening
51,51,12,External screening
52,52,34,External screening
53,53,22,External screening
54,54,12,School screening
55,55,0,-
56,56,20,External screening
57,57,26,School screening
58,58,25,External screening
59,59,12,School screening
60,60,11,External screening
61,61,12,School screening
62,62,12,School screening
63,63,12,External screening
64,64,18,External screening
65,65,23,External screening
66,66,24,External screening
67,67,19,School screening
68,68,9,External screening
69,69,5,School screening
70,70,12,School screening
71,71,19,School screening
72,72,12,School screening
73,73,26,School screening
74,74,5,School screening
75,75,7,External screening
76,76,8,External screening
77,77,17,External screening
78,78,11,External screening
79,79,14,External screening
80,80,12,School screening
81,81,18,External screening
82,82,23,External screening
83,83,19,School screening
84,84,5,School screening
85,85,19,School screening
86,86,12,School screening
87,87,25,External screening
88,88,11,External screening
89,89,12,School screening
90,90,13,External screening
91,91,17,External screening
92,92,27,External screening
93,93,14,External screening
94,94,18,External screening
95,95,16,External screening
96,96,33,School screening
97,97,19,School screening
98,98,13,External screening
99,99,26,School screening
100,100,13,External screening
101,101,10,External screening
102,102,19,External screening
103,103,26,School screening
104,104,26,School screening
105,105,26,School screening
106,106,26,School screening
107,107,12,School screening
108,108,19,School screening
109,109,9,External screening
110,110,12,School screening
111,111,23,External screening
112,112,12,School screening
113,113,12,School screening
114,114,25,External screening
115,115,10,External screening
116,116,19,School screening
117,117,18,External screening
118,118,12,School screening
119,119,12,School screening
120,120,29,External screening
121,121,13,External screening
122,122,21,External screening
123,123,19,School screening
124,124,22,External screening
125,125,19,External screening
126,126,16,External screening
127,127,26,External screening
128,128,19,School screening
129,129,10,External screening
130,130,5,School screening
131,131,12,School screening
132,132,5,School screening
133,133,19,External screening
134,134,19,External screening
135,135,19,School screening
136,136,12,School screening
137,137,12,School screening
138,138,9,External screening
139,139,26,School screening
140,140,19,School screening
141,141,20,External screening
142,142,21,External screening
143,143,19,School screening
144,144,33,School screening
145,145,30,External screening
146,146,12,School screening
147,147,12,School screening
148,148,13,External screening
149,149,23,External screening
150,150,24,External screening
151,151,0,-
152,152,19,School screening
153,153,13,External screening
154,154,18,External screening
155,155,19,School screening
156,156,9,External screening
157,157,12,School screening
158,158,11,External screening
159,159,6,External screening
160,160,19,School screening
161,161,10,External screening
162,162,12,School screening
163,163,12,School screening
164,164,14,External screening
165,165,24,External screening
166,166,18,External screening
167,167,14,External screening
168,168,12,School screening
169,169,19,School screening
170,170,24,External screening
171,171,9,External screening
172,172,19,School screening
173,173,18,External screening
174,174,33,School screening
175,175,12,External screening
176,176,19,School screening
177,177,12,School screening
178,178,13,External screening
179,179,5,School screening
180,180,19,School screening
181,181,29,External screening
182,182,26,School screening
183,183,19,School screening
184,184,26,External screening
185,185,24,External screening
186,186,13,External screening
187,187,8,External screening
188,188,25,External screening
189,189,9,External screening
190,190,25,External screening
191,191,14,External screening
192,192,10,External screening
193,193,27,External screening
194,194,17,External screening
195,195,19,School screening
196,196,12,School screening
197,197,0,-
198,198,23,External screening
199,199,17,External screening
