,trace,day,type
0,0,6,External screening
1,1,15,External screening
2,2,10,External screening
3,3,17,School screening
4,4,9,External screening
5,5,22,School screening
6,6,29,School screening
7,7,15,School screening
8,8,17,External screening
9,9,17,External screening
10,10,13,External screening
11,11,13,External screening
12,12,22,School screening
13,13,17,External screening
14,14,17,School screening
15,15,19,External screening
16,16,16,External screening
17,17,15,School screening
18,18,24,School screening
19,19,4,External screening
20,20,22,School screening
21,21,17,School screening
22,22,19,External screening
23,23,25,External screening
24,24,22,School screening
25,25,19,External screening
26,26,13,External screening
27,27,8,School screening
28,28,14,External screening
29,29,19,External screening
30,30,16,External screening
31,31,19,External screening
32,32,15,External screening
33,33,29,School screening
34,34,32,External screening
35,35,19,External screening
36,36,22,School screening
37,37,15,School screening
38,38,22,School screening
39,39,26,External screening
40,40,8,School screening
41,41,9,External screening
42,42,17,School screening
43,43,17,External screening
44,44,18,External screening
45,45,34,External screening
46,46,16,External screening
47,47,10,School screening
48,48,7,External screening
49,49,22,School screening
50,50,14,External screening
51,51,22,School screening
52,52,21,External screening
53,53,15,School screening
54,54,25,External screening
55,55,7,External screening
56,56,10,External screening
57,57,14,External screening
58,58,10,External screening
59,59,10,School screening
60,60,10,External screening
61,61,17,External screening
62,62,15,School screening
63,63,13,External screening
64,64,23,External screening
65,65,8,School screening
66,66,28,External screening
67,67,22,School screening
68,68,15,External screening
69,69,27,External screening
70,70,29,School screening
71,71,20,External screening
72,72,11,External screening
73,73,12,External screening
74,74,10,External screening
75,75,27,External screening
76,76,8,School screening
77,77,20,External screening
78,78,15,School screening
79,79,22,School screening
80,80,11,External screening
81,81,17,School screening
82,82,15,School screening
83,83,0,-
84,84,17,External screening
85,85,27,External screening
86,86,17,School screening
87,87,8,School screening
88,88,19,External screening
89,89,15,School screening
90,90,9,External screening
91,91,20,External screening
92,92,7,External screening
93,93,22,School screening
94,94,15,School screening
95,95,25,External screening
96,96,13,External screening
97,97,29,School screening
98,98,24,School screening
99,99,15,School screening
100,100,12,External screening
101,101,12,External screening
102,102,22,School screening
103,103,7,External screening
104,104,13,External screening
105,105,17,School screening
106,106,27,External screening
107,107,15,External screening
108,108,18,External screening
109,109,15,External screening
110,110,22,External screening
111,111,19,External screening
112,112,15,School screening
113,113,11,External screening
114,114,29,School screening
115,115,13,External screening
116,116,17,School screening
117,117,22,School screening
118,118,14,External screening
119,119,15,School screening
120,120,8,External screening
121,121,15,School screening
122,122,29,School screening
123,123,18,External screening
124,124,29,External screening
125,125,21,External screening
126,126,9,External screening
127,127,16,External screening
128,128,22,School screening
129,129,21,External screening
130,130,22,External screening
131,131,8,School screening
132,132,14,External screening
133,133,22,External screening
134,134,9,External screening
135,135,15,School screening
136,136,22,School screening
137,137,14,External screening
138,138,15,School screening
139,139,21,External screening
140,140,13,External screening
141,141,27,External screening
142,142,15,School screening
143,143,11,External screening
144,144,10,School screening
145,145,23,External screening
146,146,15,School screening
147,147,10,External screening
148,148,26,External screening
149,149,9,External screening
150,150,21,External screening
151,151,15,School screening
152,152,8,School screening
153,153,15,School screening
154,154,19,External screening
155,155,10,External screening
156,156,9,External screening
157,157,15,External screening
158,158,17,School screening
159,159,16,External screening
160,160,22,School screening
161,161,8,School screening
162,162,3,School screening
163,163,22,School screening
164,164,20,External screening
165,165,15,School screening
166,166,22,School screening
167,167,7,External screening
168,168,22,External screening
169,169,22,School screening
170,170,11,External screening
171,171,25,External screening
172,172,15,School screening
173,173,29,School screening
174,174,8,School screening
175,175,15,School screening
176,176,14,External screening
177,177,22,School screening
178,178,18,External screening
179,179,11,External screening
180,180,15,School screening
181,181,8,School screening
182,182,29,School screening
183,183,9,External screening
184,184,24,External screening
185,185,0,-
186,186,15,School screening
187,187,17,External screening
188,188,17,School screening
189,189,18,External screening
190,190,22,School screening
191,191,13,External screening
192,192,13,External screening
193,193,18,External screening
194,194,15,School screening
195,195,0,-
196,196,15,School screening
197,197,24,External screening
198,198,22,School screening
199,199,17,School screening
