day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457173	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457173	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457173	220	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	1
3	123457173	220	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	1
4	123457173	220	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	1
5	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	0
6	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	0
7	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	0
8	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	240	0	0	1	0	0	[3D]	1	0
9	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
10	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
11	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
12	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
13	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
14	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
15	123457173	220	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	460	0	0	1	0	0	[3D]	1	0
16	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
17	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
18	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
19	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
20	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
21	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
22	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	[]	0	0
23	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
24	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
25	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
26	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
27	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
28	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
29	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	1	0	0	[]	0	0
30	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	1	0	0	[]	0	0
31	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	1	0	0	[]	0	0
32	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	1	0	0	[]	0	0
33	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	1	0	0	[]	0	0
34	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	1	0	0	[]	0	0
35	123457173	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1180	0	0	1	0	0	[]	0	0
